id,name,profile_path,known_for_department,popularity
526,루카스 하스,/6LNGu3o2aBiYNTDkbXMDIGyQtBh.jpg,Acting,2.5899
528,Sylvia Sidney,/2ahFUatfOEqqY6p7XnSAPlIZU2e.jpg,Acting,1.1239
529,가이 피어스,/vTqk6Nh3WgqPubkS23eOlMAwmwa.jpg,Acting,2.9931
530,캐리 앤 모스,/xD4jTA3KmVp5Rq3aHcymL9DUGjD.jpg,Acting,2.8852
531,대니 엘프먼,/bcpur9bF56nLxzFzZowipA2wZhy.jpg,Sound,1.3095
532,조 판톨리아노,/3OHUI3nX4SYGGItDk3xqeIvWtIf.jpg,Acting,2.9187
534,마크 분 주니어,/rcncVr356hpfKX9qOrKL3SJlEO7.jpg,Acting,1.4217
535,러스 페가,/d0W7kq97Ul8Iz5LZIVNDKxSly8M.jpg,Acting,0.5278
536,Jorja Fox,/hCRdbNzZjkhYyVoZPmhYF5OqpaX.jpg,Acting,1.797
537,스티븐 토볼로스키,/uL8yfcm0dCFYFQt052kczVQVvac.jpg,Acting,2.5752
538,Harriet Sansom Harris,/1ShvYCWkZycAGb27ZivGrLx1PhS.jpg,Acting,1.189
539,토마스 레넌,/s8pw7BfuMxN7P0p5XJ9POfod7zW.jpg,Acting,1.6819
540,Callum Keith Rennie,/zOeA4IR4xYde2VlDsHZy2SoPZkc.jpg,Acting,1.7539
542,Kimberly Campbell,/srUMT8MhY0i0CnPNOqdORuxL6JS.jpg,Acting,0.4482
543,Marianne Muellerleile,/8mlAV0ChK35WXQrnlKoEzKNNrFR.jpg,Acting,0.6703
544,Larry Holden,/1ZYJUFYu97gM0MaCX5EI6oJZu89.jpg,Acting,0.2962
545,Matthew Barry,/vMkcx9n4OWm03r5IulJhbnU432n.jpg,Production,0.6581
547,Victoria Thomas,/rlZzeWW7LDeN4cRaQFP6aso7mfw.jpg,Production,0.7525
559,Wally Pfister,/uyWeYsERTTLjpjkE79QeSETLIoA.jpg,Camera,0.9541
564,리처드 링클레이터,/xSctxeZQzQbZoaxIvcDeHlDjbiN.jpg,Directing,1.1002
568,Kim Krizan,/kaTMrvFtFkqTNKjY7CKf2Tb4s90.jpg,Writing,0.405
569,에단 호크,/oojD9jSshvUT4t6AUySsBxoekHk.jpg,Acting,5.1308
571,Andrea Eckert,/4O1mg7OTD2P7oVKIqfJeiLmJq6B.jpg,Acting,0.4389
572,Hanno Pöschl,/gSjETreOKhsgnoo1WqWNKowdIBB.jpg,Acting,0.4375
573,Karl Bruckschwaiger,/sw9inGYMEJOOEISln8hHrOhRujn.jpg,Acting,0.098
574,Tex Rubinowitz,/myLjW8HX7O678ghf8tye7zovNAI.jpg,Acting,0.1279
578,리들리 스콧,/97SO7H0UlS3racqjeW5JTy8c6GM.jpg,Directing,3.9582
585,루트거 하우어,/xyag0LbjocTwx2Ht7B3RofvCNMT.jpg,Acting,2.8539
586,숀 영,/yfJADYt6xYPpg1g7Z7TTW0bcL2s.jpg,Acting,2.3773
587,에드워드 제임스 올모스,/mXnilUrQBIMLHSQkPjQk99mX70x.jpg,Acting,2.8968
588,M. Emmet Walsh,/fVWvBxvwyk4aTA9vKZOV9qHRNNk.jpg,Acting,1.6097
589,대릴 해나,/5FllFmoiaru7tjXJ6Orc11OpQcw.jpg,Acting,2.9047
590,William Sanderson,/i3JfaavAFq9ayeJ4doUaOGjHMMW.jpg,Acting,1.2819
591,Brion James,/qy5jIIsWrNCV1OVRaUiqYNhLLVT.jpg,Acting,2.136
592,조 터켈,/rqpNzjLFCoMrvGSf6SIL5JnWwMT.jpg,Acting,0.9752
593,Joanna Cassidy,/yzKVigHSkgi3KCRzUDvzgE3YtHU.jpg,Acting,2.6687
